PeakID (cmd=annotatePeaks.pl /Volumes/Bioinfo_Ext/16185R/Analysis/Diffbind/practice.txt dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3R.17052131.17089659	chr3R	17052131	17089659	+	19814.6711998181	0.275329829171157	TTS (NM_001014629)	TTS (NM_001014629)	1780	NM_169742	42060	Dm.11627	NM_169742		Ns1	CG3983|Dmel\CG3983|NS1|dmNS1|ns1	Nucleostemin 1	protein-coding
2R.12582467.12604140	chr2R	12582467	12604140	+	19718.2322318832	0.28903809228916	promoter-TSS (NM_001273991)	promoter-TSS (NM_001273991)	-301	NM_001273990	36383	Dm.3121	NM_078993		Amph	Amp|CG8604|DAMP|Damp|Dmel\CG8604|amph|dAmp|dAmph|damph	Amphiphysin	protein-coding
2R.9540318.9558822	chr2R	9540318	9558822	+	19711.6780499309	-0.0214593951181737	Intergenic	Intergenic	-1435	NM_001273898	35979	Dm.13238	NM_136651		CG1888	Dmel\CG1888	CG1888	protein-coding
3R.20539314.20571657	chr3R	20539314	20571657	+	18998.2910262939	0.162247269373045	intron (NM_001300499, intron 1 of 5)	intron (NM_001300499, intron 1 of 5)	-1076	NM_169901	42429	Dm.18589	NM_142634		att-ORFA	CG4241|Dmel\CG4241|att	alternative testis transcripts open reading frame A	protein-coding
2R.9120413.9151286	chr2R	9120413	9151286	+	18690.4620705483	0.0720079825873768	TTS (NM_165653)	TTS (NM_165653)	1521	NM_206061	35931	Dm.7268	NM_136616		alc	8057|AMPKbeta|CG8057|Dmel\CG8057|FBgn0033383|betaAMPK|l(2)45Ad	alicorn	protein-coding
3L.19893030.19919252	chr3L	19893030	19919252	+	18354.3556629271	0.423530093313519	intron (NM_140898, intron 1 of 4)	intron (NM_140898, intron 1 of 4)	-3224	NR_073953	14462887		NR_073953		CR43889	Dmel\CR43889	ncRNA	ncRNA
2R.17819948.17857806	chr2R	17819948	17857806	+	18069.2686828552	0.269895537482917	intron (NM_001259472, intron 9 of 13)	intron (NM_001259472, intron 9 of 13)	-4565	NM_206159	37040	Dm.7627	NM_137429		olf186-F	BcDNA:LD03241|CG11430|CRACM1|Dmel\CG11430|Olf186-F|Orai|Orai1|SPH206|dOrai|dOrai1|dorai|l(2)k11505|orai	olf186-F	protein-coding
2R.7452558.7481389	chr2R	7452558	7481389	+	18049.4180133153	0.0388404509902832	promoter-TSS (NM_136440)	promoter-TSS (NM_136440)	-214	NM_136440	35674	Dm.4215	NM_136440		p47	CG11139|Dmel\CG11139|anon-WO0118547.216|dp47	p47	protein-coding
2L.2738639.2760953	chr2L	2738639	2760953	+	17948.8986670383	-0.120697560776879	promoter-TSS (NM_001273030)	promoter-TSS (NM_001273030)	351	NM_001273027	33461	Dm.6415	NM_057328		Pgk	169C9S|CG3127|Dmel\CG3127|ESTS:169C9S|PGK|anon-sts18|l(2)23AB3|l(2)23Ac|pgk|pgk1	Phosphoglycerate kinase	protein-coding
2R.21695910.21710638	chr2R	21695910	21710638	+	17817.0870382955	-0.13542249997387	promoter-TSS (NM_166476)	promoter-TSS (NM_166476)	-444	NM_001299765	37480	Dm.20604	NM_166476		HmgZ	BcDNA:RE28596|CG17921|Dmel\CG17921|HMG Z|HMG-Z|HMG1|HMGZ|anon-EST:Liang-1.58|clone 1.58|dHMG-Z|hmg-Z|hmgz	HMG protein Z	protein-coding
2R.24530048.24566612	chr2R	24530048	24566612	+	17732.5818187632	0.148898068348108	intron (NM_001169823, intron 2 of 3)	intron (NM_001169823, intron 2 of 3)	4634	NM_001169823	37921	Dm.3970	NM_138087		ITP	BcDNA:SD05282|CG13586|CHH-like|Dmel\CG13586|Drm-ITP|DrmITP|DrmITPL1|DrmITPL2|Itp|chgh|itp	Ion transport peptide	protein-coding
2L.5970993.5989156	chr2L	5970993	5989156	+	17632.3027857581	0.224055204766233	promoter-TSS (NM_134304)	promoter-TSS (NM_134304)	27	NM_001258977	33834	Dm.4775	NM_057668		chic	CG9553|Chi|Chic|D88|Dmel\CG9553|GH4|chi|l(2)27/7|profilin|sand	chickadee	protein-coding
2R.9423349.9448252	chr2R	9423349	9448252	+	17291.1137841137	0.346468275497165	exon (NM_165676, exon 5 of 7)	exon (NM_165676, exon 5 of 7)	5086	NM_165675	35971	Dm.7305	NM_136644		ced-6	CG11804|Ced-6|Dmel\CG11804|ced6|dCed-6|dced-6|drCed-6|drced-6	ced-6	protein-coding
2L.2157910.2181022	chr2L	2157910	2181022	+	17015.8382351186	0.417142958735555	intron (NM_078731, intron 1 of 3)	intron (NM_078731, intron 1 of 3)	-7939	NM_164457	33392	Dm.267	NM_078731		aop	AOP|Aop|Aop/Yan|CG3166|DROYANET|DROYANETSB|Dmel\CG3166|SK2-1|YAN|Yan|aop/yan|fus6|pok|yan|yan/pok	anterior open	protein-coding
3R.7974465.8015092	chr3R	7974465	8015092	+	16660.5817699241	-0.132276754334926	intron (NM_141497, intron 1 of 5)	intron (NM_141497, intron 1 of 5)	1074	NM_141497	40943	Dm.13668	NM_141497		CG2781	Dmel\CG2781	CG2781	protein-coding
3L.121141.149814	chr3L	121141	149814	+	16005.9643898254	0.244020066216977	exon (NM_001274254, exon 2 of 6)	exon (NM_001274254, exon 2 of 6)	2744	NM_167789	38017	Dm.7033	NM_080382		Pdk1	1210|CG1201|CG1210|DSTPK61|Dmel\CG1210|Dstpk61|PDK|PDK-1|PDK1|PDK1/Pk61C|PK61C|Pk61C|Pk61C/PDK1|Pk61C|PDK1|Pk61c/PDK1|dPDK|dPDK-1|dPDK1|dSTPK61|pdk1|pk61c	Phosphoinositide-dependent kinase 1	protein-coding
3R.17696303.17708142	chr3R	17696303	17708142	+	15890.9592547154	-0.108213928478287	TTS (NR_133414)	TTS (NR_133414)	-1473	NR_133415	26067354		NR_133415		CR46035	Dmel\CR46035	ncRNA	ncRNA
3R.11748458.11766014	chr3R	11748458	11766014	+	15570.0441446423	0.14365081685978	intron (NM_143729, intron 1 of 5)	intron (NM_143729, intron 1 of 5)	2843	NM_169423	44672	Dm.7890	NM_143729		Lk6	CG17342|CG6929|Dmel\CG17342|LK6|MESR8|MNK/LK6|anon-WO0172774.84|lk6	Lk6 kinase	protein-coding
2L.6075311.6091858	chr2L	6075311	6091858	+	15508.5117972074	0.185349906704025	5' UTR (NM_058119, exon 1 of 4)	5' UTR (NM_058119, exon 1 of 4)	981	NM_058119	33861	Dm.3266	NM_058118		Kr-h1	44/11|CG18783|CG45074|CG9167|Dmel\CG45074|Dmel_CG18783|Kr h|Kr-H1|Kr-h|P381|Pow|l(2)05208|l(2)10642	Kruppel homolog 1	protein-coding
3L.16034596.16054679	chr3L	16034596	16054679	+	15377.1998751179	0.163175208437592	intron (NM_001274988, intron 1 of 2)	intron (NM_001274988, intron 1 of 2)	-2067	NM_168645	39753	Dm.6466	NM_079377		Diap1	0736/01|1065/03|CG12284|D-IAP1|D-iap1|DIAP|DIAP I|DIAP-1|DIAP1|DIAPI|Diap|Diap-1|Diap-1/Th|Dmel\CG12284|E(rpr)3-1|IAP|IAP1|Iap1|S048915|TH|Thread|dIAP|dIAP-1|dIAP1|dIap1|diap|diap 1|diap-1|diap1|diap1/thread|l(3)72CDe|l(3)72Dc|l(3)S030605|l(3)S030605b|l(3)S106503|l(3)j5C8|th|thread	Death-associated inhibitor of apoptosis 1	protein-coding
2R.6623956.6639186	chr2R	6623956	6639186	+	15229.665469605	0.0597196670749904	intron (NM_057453, intron 2 of 3)	intron (NM_057453, intron 2 of 3)	813	NM_165474	44307	Dm.6911	NM_057453		Vha16-1	ATP6V0C|BcDNA:SD02875|CG3161|Dmel\CG3161|DucC|EP2372|MRE15|V-ATPase|Vha1|Vha16|Vhac|vha16|vha16-1	Vacuolar H[+] ATPase 16kD subunit 1	protein-coding
2L.1112559.1130843	chr2L	1112559	1130843	+	15165.7410368818	0.0826289434215317	intron (NM_164405, intron 2 of 4)	intron (NM_164405, intron 2 of 4)	-2670	NM_001272925	33288	Dm.7254	NM_134724		Pino	CG4710|Dmel\CG4710|anon-WO0118547.131|smi21F	Pinocchio	protein-coding
2R.11612918.11644580	chr2R	11612918	11644580	+	15042.7234929646	0.282349123805634	intron (NM_001259338, intron 2 of 7)	intron (NM_001259338, intron 2 of 7)	3766	NM_001169647	36243	Dm.11995	NM_136844		CG9005	BcDNA:GH05710|Dmel\CG9005	CG9005	protein-coding
2R.17418244.17441726	chr2R	17418244	17441726	+	15006.2507456205	0.0621174411187594	TTS (NM_001274120)	TTS (NM_001274120)	978	NM_137365	36956	Dm.1445	NM_137365		Bap55	Arp4|BAF53|BAP47|BAP55|Baf53|CG6546|Dmel\CG6546|bap55	Brahma associated protein 55kD	protein-coding
3L.14752783.14763401	chr3L	14752783	14763401	+	14971.5651554673	0.604113933387277	promoter-TSS (NM_001038926)	promoter-TSS (NM_001038926)	-130	NM_001274917	2768981	Dm.7610	NM_206355		Trl	Adf-2|Adf-2-519|Adf2|CG33261|CG9343|Dmel\CG33261|E(var)3-trl|E(var)62|GAF|GAGA|GAGA factor|Gaf|Gaga|NC70F|Nc70F|TRL|TfGAGA/Adf-2|Trl-GAGA|anon-EST:fe2E12|gaga|l(3)s2325|trl	Trithorax-like	protein-coding
3R.18912287.18929979	chr3R	18912287	18929979	+	14913.9151029938	0.212062895194604	exon (NM_169839, exon 3 of 5)	exon (NM_169839, exon 3 of 5)	1345	NM_001275789	42267	Dm.7819	NM_142504		Xrp1	2515|CG17836|DM28|Dmel\CG17836|XRP1|anon-EST:Liang-2.44|clone 2.44|l(3)02515|xrp1	Xrp1	protein-coding
2L.152812.169975	chr2L	152812	169975	+	14869.1776856788	0.237718998355691	5' UTR (NM_001272875, exon 2 of 14)	5' UTR (NM_001272875, exon 2 of 14)	2361	NM_001258887	44205	Dm.3450	NM_079979		spen	136/24|BcDNA:GM01870|CG18497|Dmel\CG18497|E(E2F)2A|E(Raf)2A|E(Sev-CycE)2A|EK2-9|EY2-7|En(yan[ACT])2-7|SPEN|Spen|Splitends|l(2)03350|l(2)k06805|l(2)k07612|l(2)k08102|poc|rno|spe|yip1	split ends	protein-coding
3L.13992633.14012402	chr3L	13992633	14012402	+	14817.5090206096	0.183155046148206	promoter-TSS (NM_168570)	promoter-TSS (NM_168570)	390	NM_001274890	39551	Dm.954	NM_140424		upSET	CG9007|Dmel\CG9007	upSET	protein-coding
3L.16147489.16168803	chr3L	16147489	16168803	+	14488.8434597219	0.0966773552723776	intron (NM_001259861, intron 1 of 4)	intron (NM_001259861, intron 1 of 4)	6555	NM_001259861	39772	Dm.3702	NM_140587		CG5151	Dmel\CG5151	CG5151	protein-coding
3R.21183187.21209299	chr3R	21183187	21209299	+	14392.6045276633	0.198433992565732	intron (NM_169948, intron 1 of 8)	intron (NM_169948, intron 1 of 8)	-2938	NM_001043273	42515	Dm.16656	NM_080509		SNF4Agamma	0050/42|0127/19|AMPK&ggr|AMPK-&ggr|AMPKgamma|AMPgamma|CG17299|CG5806|Dmel\CG17299|EP3015b|FBgn0025803|SNF4|SNF4A|SNF4A-gamma|SNF4Ag|SNF4a|SNF4gamma|Snfg|Snfgamma|anon-WO0118547.338|anon-WO0118547.575|anon-WO0257455.21|l(3)S005042|l(3)S012719|loe|loeI|snf4	SNF4/AMP-activated protein kinase gamma subunit	protein-coding
3R.20818185.20840563	chr3R	20818185	20840563	+	14375.5662370109	0.154040181176878	intron (NM_142661, intron 1 of 4)	intron (NM_142661, intron 1 of 4)	1206	NM_142661	42466	Dm.3123	NM_142661		AdSS	BcDNA:LD32788|CG17273|Dmel\CG17273|PURA_DROME	Adenylosuccinate Synthetase	protein-coding
2L.19565189.19588135	chr2L	19565189	19588135	+	14341.0272592663	0.357444378566331	intron (NM_134291, intron 1 of 2)	intron (NM_134291, intron 1 of 2)	653	NM_134291	35253	Dm.4573	NM_057561		spi	CG10334|CT29014|Dmel\CG10334|EP(2)2378|Spi|Spitz|anon-WO0118547.158|l(2)01068|l(2)37Fa|l(2)s3547|s-spi|sSpi	spitz	protein-coding
3R.28671696.28697554	chr3R	28671696	28697554	+	14327.4547691212	0.162395079166836	intron (NM_001276111, intron 1 of 9)	intron (NM_001276111, intron 1 of 9)	2284	NM_001260422	43391	Dm.16358	NM_143371		CG9990	Dmel\CG9990	CG9990	protein-coding
2R.23858184.23879927	chr2R	23858184	23879927	+	14259.80348822	0.507115970290071	promoter-TSS (NM_058030)	promoter-TSS (NM_058030)	-452	NM_058030	37784	Dm.2271	NM_058030		Thiolase	ACoT|CG4581|Dmel\CG4581|Mtpbeta|l(2)k09828|thiolase	thiolase	protein-coding
2R.16121365.16144541	chr2R	16121365	16144541	+	13953.6772186717	0.355580783472023	exon (NM_166146, exon 4 of 9)	exon (NM_166146, exon 4 of 9)	-5399	NM_166148	36782	Dm.3647	NM_137242		Got1	BEST:GH07823|CG8430|Dmel\CG8430|FBgn 1124|GOT-1|Got-1|Got2|got1	Glutamate oxaloacetate transaminase 1	protein-coding
2R.23962771.23990610	chr2R	23962771	23990610	+	13889.476866128	0.0833778522535633	exon (NM_138019, exon 1 of 2)	exon (NM_138019, exon 1 of 2)	565	NM_138019	37820	Dm.4606	NM_138019		PPP1R15	CG3825|Dm-GADD34|Dmel\CG3825|GADD34|Gadd34|dGADD34|dPPP1R15|gadd34	Protein phosphatase 1 regulatory subunit 15	protein-coding
3R.9333078.9364712	chr3R	9333078	9364712	+	13800.8073002951	0.186559469687576	intron (NM_001300317, intron 2 of 5)	intron (NM_001300317, intron 2 of 5)	-5373	NR_003890	5740666		NR_003890		snoRNA:Me18S-G1358a	CR34682|Dmel\CR34682|Me18S-G1358a|Me18S-Gm1358a	ncRNA	ncRNA
3L.20380400.20404859	chr3L	20380400	20404859	+	13792.5421542602	0.167536551751781	TTS (NM_168851)	TTS (NM_168851)	924	NM_001038946	40252	Dm.38464	NM_001038945		CG33969	CG32429|CG5571|Dmel\CG33969	uncharacterized protein	protein-coding
2R.24013997.24039004	chr2R	24013997	24039004	+	13601.6122037967	-0.0426855114755598	promoter-TSS (NM_080227)	promoter-TSS (NM_080227)	-46	NM_080227	49821	Dm.20534	NM_080227		EbpIII	BcDNA:RH74005|CG11390|DmelCSP2|Dmel\CG11390|PEB|PEBmeIII|PEBmelIII|PebIII|Phk-2|phk-2	Ejaculatory bulb protein III	protein-coding
3R.8104785.8128555	chr3R	8104785	8128555	+	13596.1518879695	0.322183974968553	intron (NM_001300294, intron 3 of 3)	intron (NM_001300294, intron 3 of 3)	-2667	NR_125107	19835062		NR_125106		CR44331	Dmel\CR44331	ncRNA	ncRNA
3R.27148123.27163319	chr3R	27148123	27163319	+	13389.9750601744	0.214294698844428	intron (NM_143702, intron 4 of 6)	CpG-17567	-2227	NM_170318	43273	Dm.13751	NM_143286		grass	CG5896|Dmel\CG5896|Grass|SP1|SP2|c-SP1	Gram-positive Specific Serine protease	protein-coding
3R.7072057.7097422	chr3R	7072057	7097422	+	13383.3404028204	0.0093148694501419	promoter-TSS (NR_133348)	promoter-TSS (NR_133348)	824	NM_169169	40847	Dm.6108	NM_141436		Tailor	CG1091|Dmel\CG1091|anon-WO0118547.222	tailor	protein-coding
3R.10864869.10894291	chr3R	10864869	10894291	+	13320.0228027662	0.194403139952041	promoter-TSS (NM_141775)	promoter-TSS (NM_141775)	-261	NM_141775	41314	Dm.27919	NM_141775		CG14695	Dmel\CG14695	uncharacterized protein	protein-coding
3R.20777174.20787124	chr3R	20777174	20787124	+	13308.0742414772	0.583359429807602	promoter-TSS (NM_001104378)	promoter-TSS (NM_001104378)	-834	NM_001275853	42460	Dm.11889	NM_142656		Syp	AI945337|CG17838|Dmel\CG17838|anon-WO0118547.613|cg17838|l(3)03806|syp	Syncrip	protein-coding
2R.12162008.12189076	chr2R	12162008	12189076	+	13246.0168022041	0.0757117590410318	intron (NM_165867, intron 1 of 2)	intron (NM_165867, intron 1 of 2)	446	NM_165867	36308	Dm.2869	NM_078983		Cct5	BcDNA.GM12270|BcDNA:GM12270|CCT5|CG8439|Dmel\CG8439|TCP-1epsilon|Tcp1-epsilon|cct5|l(2)06444	T-complex Chaperonin 5	protein-coding
2L.5298760.5312709	chr2L	5298760	5312709	+	13055.1169543812	0.216996972515876	promoter-TSS (NM_001144320)	promoter-TSS (NM_001144320)	84	NM_001144320	33759	Dm.3340	NM_057843		vri	CG14029|DM16|Dmel\CG14029|VRI|Vri|argo|jf23|l(2)25Db|l(2)jf23|mat(2)ea-G|mat(2)earlyRS32|mel_vri	vrille	protein-coding
2R.13571833.13595072	chr2R	13571833	13595072	+	13002.2150229375	0.02898562754154	exon (NM_001274029, exon 3 of 8)	exon (NM_001274029, exon 3 of 8)	5416	NR_124544	19836178		NR_124544		CR44366	Dmel\CR44366	ncRNA	ncRNA
3R.14644871.14660906	chr3R	14644871	14660906	+	12920.2565362152	0.253721655248942	intron (NM_142122, intron 1 of 5)	intron (NM_142122, intron 1 of 5)	2309	NM_001260175	41776	Dm.11537	NM_142122		l(3)L1231	BEST:LD14744|CG7832|Dmel\CG7832|LD14744	lethal (3) L1231	protein-coding
3R.21100767.21132253	chr3R	21100767	21132253	+	12900.8536580954	0.252710624010353	TTS (NM_134310)	TTS (NM_134310)	256	NM_057631	42502	Dm.3008	NM_057631		ppan	CG5786|Dmel\CG5786|PPAN|Ppan|l(3)02231|l(3)j6B6	peter pan	protein-coding
2R.16576295.16596938	chr2R	16576295	16596938	+	12893.175784276	0.516091513880803	TTS (NM_137295)	TTS (NM_137295)	487	NM_079040	36855		NM_079040		RpLP2	BcDNA:SD22208|CG4918|Dmel\CG4918|LP2|RLA2_DROME|RpA1|RpP1|RplP2|T1|Tp1|bs34h02.y1|chr2R:12101099..12101299|rpA1	Ribosomal protein LP2	protein-coding
X.3739588.3750801	chrX	3739588	3750801	+	12891.6501197503	0.405394086204123	intron (NM_001272291, intron 1 of 7)	intron (NM_001272291, intron 1 of 7)	-1969	NM_001103403	318206	Dm.7071	NM_130717		Tlk	BEST:GH17330|BcDNA:GH07910|CG12462|CG2829|CG32781|CG32782|CG33219|CG34412|Dmel\CG34412|Dmel_CG32781|Dmel_CG32782|EP(X)1408|EP(X)1413|EP1408|EP1413|GH17330|TLK|anon-WO03040301.114|anon-WO03040301.116|dtlk|l(1)G0054|tlk	Tousled-like kinase	protein-coding
3R.8655399.8677907	chr3R	8655399	8677907	+	12749.9928843454	0.145090303604264	exon (NM_141554, exon 3 of 5)	exon (NM_141554, exon 3 of 5)	-1215	NM_141555	41027	Dm.1104	NM_141555		CG8036	Dmel\CG8036|anon-WO0118547.344	CG8036	protein-coding
2L.4994262.5012581	chr2L	4994262	5012581	+	12687.740508042	0.0930331110942619	intron (NM_175969, intron 1 of 4)	intron (NM_175969, intron 1 of 4)	1507	NM_001169407	33721	Dm.1559	NM_175969		Rtnl1	142893_at|CG18623|CG33113|CG8895|Dmel\CG33113|G9|Retl1|Rtn1|Rtnl-1|rtnl1	Reticulon-like1	protein-coding
3R.16080882.16103785	chr3R	16080882	16103785	+	12675.0959193122	-0.0959268625349922	intron (NM_169700, intron 4 of 17)	intron (NM_169700, intron 4 of 17)	1817	NM_001043251	41955	Dm.7971	NM_169700		Mhcl	CG10218|CG10224|CG31045|DmPDZ|Dmel\CG31045|MHCL(PDZ)|Myo7A	Myosin heavy chain-like	protein-coding
X.9576435.9597468	chrX	9576435	9597468	+	12653.1631057068	0.506917088342615	exon (NM_001272455, exon 1 of 1)	exon (NM_001272455, exon 1 of 1)	1061	NM_080109	45875	Dm.1467	NM_080109		Hex-A	CG3001|DM1|Dmel\CG3001|HEX|HEX-A|HK|HK-A|Hex|Hex-A:B|HexA|hexokinase	Hexokinase A	protein-coding
2L.837872.857352	chr2L	837872	857352	+	12625.6195374343	0.204149390436026	intron (NM_057891, intron 1 of 4)	intron (NM_057891, intron 1 of 4)	-3090	NR_073684	14462656		NR_073684		CR44060	Dmel\CR44060	ncRNA	ncRNA
2R.11647544.11668600	chr2R	11647544	11668600	+	12602.090957133	0.390716400676432	intron (NM_136847, intron 2 of 2)	intron (NM_136847, intron 2 of 2)	3174	NM_136846	36245	Dm.27735	NM_136846		CG13198	Dmel\CG13198	uncharacterized protein	protein-coding
3R.20946755.20968626	chr3R	20946755	20968626	+	12562.8833473069	-0.0349976649162948	promoter-TSS (NM_206528)	promoter-TSS (NM_206528)	-44	NM_206528	48971	Dm.6725	NM_169936		Atpalpha	(Na[+]/k[+])-ATPase|ATP-alpha|ATPBagr|ATPa|ATPalpha|Atp a|Atpa|CG5670|Da-47|Dmel\CG5670|JY|K ATPase|K-ATPase|K[+] -ATPase|K[+]-ATPase|K[+]-ATPase alpha subunit|K[+]-ATPase alpha-subunit|Na|Na+-K+-ATPase|Na+/K+ ATPase alpha subunit|Na-p|Na/K ATPase|Na/K-ATPase|Na/K-ATPase alpha-subunit|NaK|NaK ATPase|Na[+]|Na[+]-K[+]-ATPase alpha[[5]]-subunit|Na[+]/K[+] ATPase|Na[+]/K[+]-ATPase|Na[+]/K[+]ATPase|Na[+]K[+] ATPase|Na[+]K[+]-ATPase|Na[+]K[+]ATPase|atpalpha|dnATPase|l(3)01164|l(3)01453|l(3)04492|l(3)j3B2|l(3)j3B7|l(3)j6A4|l(3)rM454|l(3)ry136|sodium/potassium transporting ATPase alpha	Na pump alpha subunit	protein-coding
X.19490969.19509236	chrX	19490969	19509236	+	12529.4842005442	0.263972257485811	intron (NM_001298512, intron 1 of 1)	intron (NM_001298512, intron 1 of 1)	1729	NM_058103	32938	Dm.7752	NM_058103		Pfrx	CG3400|Dmel\CG3400|PFK2	6-phosphofructo-2-kinase	protein-coding
2L.16305888.16330155	chr2L	16305888	16330155	+	12468.4523873009	0.174238099703035	intron (NM_057594, intron 4 of 6)	A-rich|Low_complexity|Low_complexity	7065	NM_058153	34968	Dm.4066	NM_058153		fzy	BG:DS02740.14|CDC20|CG4274|Cdc20|Cdc20/Fizzy|Cdc20/Fzy|Cdc20[Fzy]|Cdc20[fizzy]|Dmel\CG4274|FZY|Fizzy|Fzy|Fzy/Cdc20|cdc20|cdc20/fizzy|dCDC20|dFZY	fizzy	protein-coding
X.15062625.15088323	chrX	15062625	15088323	+	12464.6678274877	0.309201042834583	intron (NM_001298332, intron 1 of 4)	intron (NM_001298332, intron 1 of 4)	746	NM_001298332	32437	Dm.4079	NM_132768		Lsd-2	145098_at|CG9057|DmPLIN2|Dmel\CG9057|LSD-2|LSD2|LSP-2|Lsd2|PLIN2|plin2	Lipid storage droplet-2	protein-coding
